央视,#genre#
CCTV8,http://221.13.234.34:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.43
CCTV8,http://183.186.88.251:8899/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.41
CCTV8,http://183.186.88.244:8899/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.41
CCTV8,http://221.13.234.108:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.38
CCTV8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.22
CCTV8,http://125.42.150.152:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,0.42
CCTV8,http://218.92.37.174:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.03
CCTV8,http://221.13.235.164:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.03
CCTV8,http://123.159.125.38:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV8,http://36.44.159.108:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV8,http://36.44.159.138:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV8,http://183.131.246.250:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV8,http://116.11.156.101:8811/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.38
CCTV8,http://119.125.134.172:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://221.13.235.164:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,1.41
CCTV9,http://221.13.234.108:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,1.39
CCTV9,http://221.13.234.34:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,1.31
CCTV9,http://125.42.150.152:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://36.44.159.138:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.07
CCTV9,http://218.92.37.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.08
CCTV9,http://123.159.125.38:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV9,http://36.44.159.108:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://123.52.109.89:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://183.186.88.251:8899/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://183.186.88.244:8899/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://175.0.78.209:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV9,http://116.11.156.101:8811/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV9,http://119.125.134.172:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://221.13.234.108:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.30
CCTV10,http://221.13.234.34:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.29
CCTV10,http://125.42.150.152:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://221.13.235.164:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://183.186.88.251:8899/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV10,http://183.186.88.244:8899/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV10,http://123.52.109.89:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.19
CCTV10,http://175.0.78.209:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.03
CCTV10,http://123.159.125.38:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV10,http://36.44.159.108:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://36.44.159.138:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://183.131.246.250:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV10,http://116.11.156.101:8811/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.95
CCTV10,http://119.125.134.172:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://221.13.235.164:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV11,http://221.13.234.34:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,1.28
CCTV11,http://221.13.234.108:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.95
CCTV11,http://125.42.150.152:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://123.52.109.89:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,1.06
CCTV11,http://183.186.88.251:8899/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.82
CCTV11,http://183.186.88.244:8899/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.59
CCTV11,http://123.159.125.38:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV11,http://36.44.159.108:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://36.44.159.138:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://119.125.134.172:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://183.131.246.250:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV11,http://218.92.37.174:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://221.13.234.108:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,1.26
CCTV12,http://221.13.234.34:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,1.22
CCTV12,http://221.13.235.164:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.59
CCTV12,http://123.52.109.89:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV12,http://125.42.150.152:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV12,http://123.159.125.38:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV12,http://36.44.159.108:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://36.44.159.138:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://183.186.88.251:8899/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://183.186.88.244:8899/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://175.0.78.209:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV12,http://116.11.156.101:8811/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
CCTV12,http://119.125.134.172:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,1.07
CCTV13,http://221.13.234.34:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,1.48
CCTV13,http://218.92.37.174:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,1.41
CCTV13,http://221.13.234.108:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,1.38
CCTV13,http://183.131.246.250:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,1.07
